time,pino,tagid
2022-10-08 12:17:20,2.0,820198D4
2022-10-08 12:17:20,2.0,82019B2F
2022-10-08 12:17:20,5.0,82019A5C
2022-10-08 12:17:20,4.0,8201A1B6
2022-10-08 12:17:20,3.0,82019E4E
2022-10-08 12:17:20,2.0,82019BF6
2022-10-08 12:17:22,5.0,82019C9E
2022-10-08 12:17:22,1.0,82018F34
2022-10-08 12:17:22,2.0,820198D4
2022-10-08 12:17:22,1.0,82019A29
2022-10-08 12:17:22,2.0,82019CFB
2022-10-08 12:17:22,2.0,82019B2F
2022-10-08 12:17:22,5.0,82019F4E
2022-10-08 12:17:22,3.0,82019E4E
2022-10-08 12:17:22,5.0,82019B41
2022-10-08 12:17:22,4.0,8201A1B6
2022-10-08 12:17:22,5.0,82019C19
2022-10-08 12:17:22,4.0,82019572
2022-10-08 12:17:22,3.0,8201A30D
2022-10-08 12:17:22,4.0,8201A1C7
2022-10-08 12:17:22,5.0,82019A5C
2022-10-08 12:17:22,4.0,82019F0C
2022-10-08 12:17:22,2.0,82019BF6
2022-10-08 12:17:22,5.0,82019BEC
2022-10-08 12:17:22,3.0,8201A32E
2022-10-08 12:17:24,5.0,82019C19
2022-10-08 12:17:24,4.0,8201A1B6
2022-10-08 12:17:24,5.0,82019F4E
2022-10-08 12:17:24,2.0,82019CFB
2022-10-08 12:17:24,2.0,82019B2F
2022-10-08 12:17:24,3.0,82019E4E
2022-10-08 12:17:24,1.0,82019A29
2022-10-08 12:17:24,1.0,82018F34
2022-10-08 12:17:24,5.0,82019C9E
2022-10-08 12:17:24,3.0,8201A30D
2022-10-08 12:17:24,5.0,82019BEC
2022-10-08 12:17:24,5.0,82019B41
2022-10-08 12:17:24,4.0,82019572
2022-10-08 12:17:24,5.0,82019A5C
2022-10-08 12:17:24,4.0,8201A1C7
2022-10-08 12:17:24,4.0,82019F0C
2022-10-08 12:17:24,4.0,82019BF6
2022-10-08 12:17:24,3.0,8201A32E
2022-10-08 12:17:24,2.0,820198D4
2022-10-08 12:17:26,5.0,82019C9E
2022-10-08 12:17:26,3.0,8201A32E
2022-10-08 12:17:26,5.0,82019B41
2022-10-08 12:17:26,5.0,82019C19
2022-10-08 12:17:26,5.0,82019F4E
2022-10-08 12:17:26,3.0,8201A30D
2022-10-08 12:17:26,5.0,82019A5C
2022-10-08 12:17:26,2.0,820198D4
2022-10-08 12:17:26,4.0,8201A1B6
2022-10-08 12:17:26,3.0,82019E4E
2022-10-08 12:17:26,2.0,82019B2F
2022-10-08 12:17:26,4.0,8201A1C7
2022-10-08 12:17:26,2.0,82019CFB
2022-10-08 12:17:26,1.0,82018F34
2022-10-08 12:17:26,4.0,82019F0C
2022-10-08 12:17:26,4.0,82019BF6
2022-10-08 12:17:26,4.0,82019572
2022-10-08 12:17:26,5.0,82019BEC
2022-10-08 12:17:26,1.0,82019A29
2022-10-08 12:17:28,5.0,82019B41
2022-10-08 12:17:28,5.0,82019F4E
2022-10-08 12:17:28,4.0,82019572
2022-10-08 12:17:28,3.0,8201A30D
2022-10-08 12:17:28,5.0,82019BEC
2022-10-08 12:17:28,3.0,8201A32E
2022-10-08 12:17:28,4.0,82019F0C
2022-10-08 12:17:28,3.0,82019E4E
2022-10-08 12:17:28,5.0,82019C9E
2022-10-08 12:17:28,4.0,82019BF6
2022-10-08 12:17:28,1.0,82018F34
2022-10-08 12:17:28,2.0,820198D4
2022-10-08 12:17:28,2.0,82019CFB
2022-10-08 12:17:28,4.0,8201A1C7
2022-10-08 12:17:28,5.0,82019A5C
2022-10-08 12:17:28,2.0,82019B2F
2022-10-08 12:17:28,5.0,82019C19
2022-10-08 12:17:28,1.0,82019A29
2022-10-08 12:17:28,4.0,8201A1B6
2022-10-08 12:17:30,5.0,82019A5C
2022-10-08 12:17:30,2.0,82019B2F
2022-10-08 12:17:30,3.0,82019E4E
2022-10-08 12:17:30,3.0,8201A32E
2022-10-08 12:17:30,5.0,82019C9E
2022-10-08 12:17:30,5.0,82019C19
2022-10-08 12:17:30,1.0,82019A29
2022-10-08 12:17:30,4.0,82019BEC
2022-10-08 12:17:30,4.0,8201A1B6
2022-10-08 12:17:30,4.0,82019BF6
2022-10-08 12:17:30,1.0,82018F34
2022-10-08 12:17:30,5.0,82019B41
2022-10-08 12:17:30,4.0,82019572
2022-10-08 12:17:30,2.0,82019CFB
2022-10-08 12:17:30,2.0,820198D4
2022-10-08 12:17:30,3.0,8201A30D
2022-10-08 12:17:30,5.0,82019F4E
2022-10-08 12:17:30,4.0,8201A1C7
2022-10-08 12:17:30,4.0,82019F0C
2022-10-08 12:17:32,4.0,82019F0C
2022-10-08 12:17:32,3.0,8201A30D
2022-10-08 12:17:32,3.0,82019E4E
2022-10-08 12:17:32,2.0,820198D4
2022-10-08 12:17:32,4.0,8201A1B6
2022-10-08 12:17:32,1.0,82019A29
2022-10-08 12:17:32,4.0,82019BF6
2022-10-08 12:17:32,5.0,82019C19
2022-10-08 12:17:32,4.0,82019BEC
2022-10-08 12:17:32,2.0,82019B2F
2022-10-08 12:17:32,2.0,82019CFB
2022-10-08 12:17:32,3.0,8201A32E
2022-10-08 12:17:32,1.0,82018F34
2022-10-08 12:17:32,5.0,82019B41
2022-10-08 12:17:32,5.0,82019A5C
